flagged_field,flag_reason,dish_id,dish_text,total_grams,total_calories,total_fat,total_carb,total_protein,ingredient_count,named_ingredient_count,split,calorie_class_id,calorie_class
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551567573,"olives, sausage, ham",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551567604,"ham, sausage, olives",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,test,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551389588,"corn, avocado, lemon",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551389551,"corn, lemon, avocado",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551567508,olives,7974.0,9170.1,853.218,502.362,63.792,1,1,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551389458,lemon,7974.0,2312.46,23.922,717.66,87.714,1,1,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551382149,"oatmeal, asparagus, white rice",3435.0,782.096,4.372,150.316,75.93,3,3,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551382179,"asparagus, white rice, oatmeal",3435.0,782.096,4.372,150.316,75.93,3,3,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1551381990,asparagus,3324.0,678.096,3.324,129.636,73.128,1,1,train,2,High Calorie
total_grams,top 10 observed total_grams; retained as a legitimate extreme unless demonstrably invalid,dish_1560974769,"spinach (raw), tortilla chips, corn, cheese, white rice, cherry tomatoes, lime, tomatoes, chili, garlic, salt, sour cream, onions, black beans",3051.0,3943.325124922,10.976545888,844.5686922220001,83.749605355,14,14,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551567573,"olives, sausage, ham",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551567604,"ham, sausage, olives",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,test,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551567508,olives,7974.0,9170.1,853.218,502.362,63.792,1,1,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1560974769,"spinach (raw), tortilla chips, corn, cheese, white rice, cherry tomatoes, lime, tomatoes, chili, garlic, salt, sour cream, onions, black beans",3051.0,3943.325124922,10.976545888,844.5686922220001,83.749605355,14,14,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551389588,"corn, avocado, lemon",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551389551,"corn, lemon, avocado",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1551389458,lemon,7974.0,2312.46,23.922,717.66,87.714,1,1,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1565033265,"olives, mixed greens, broccoli, chicken, vinaigrette, olive oil",625.0,1324.085,106.343,19.202,76.664,6,6,test,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1562603895,"blackberries, mixed greens, vinaigrette, hash browns, scrambled eggs, raspberries, granola, sausage",516.999995,1268.157316072,90.776644686,68.637193014,46.983999892,8,8,train,2,High Calorie
total_calories,top 10 observed total_calories; retained as a legitimate extreme unless demonstrably invalid,dish_1564170010,"tortilla, cucumbers, tatsoi, kale, cilantro, tomatoes, chili, zucchini, pepper, thyme, cheese, salmon, parsley, lemon juice, onions, olive oil, broccoli, garlic, salt, squash, brown rice, chicken thighs, arugula",831.0,1264.548337676,61.893874233000005,57.291944961,116.862579038,23,23,test,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1551567573,"olives, sausage, ham",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,train,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1551567604,"ham, sausage, olives",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,test,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1551567508,olives,7974.0,9170.1,853.218,502.362,63.792,1,1,train,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1565033265,"olives, mixed greens, broccoli, chicken, vinaigrette, olive oil",625.0,1324.085,106.343,19.202,76.664,6,6,test,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1562603895,"blackberries, mixed greens, vinaigrette, hash browns, scrambled eggs, raspberries, granola, sausage",516.999995,1268.157316072,90.776644686,68.637193014,46.983999892,8,8,train,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1558379876,"deprecated, sausage, almonds",374.0,1148.251,89.767,32.146,68.292,3,3,train,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1558375886,"almonds, sausage, grapes",277.0,1050.511,84.153,42.757000000000005,44.874,3,3,test,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1566501153,"olives, carrot, spinach (raw), parmesan cheese, chicken, avocado, olive oil",419.0,1006.918,83.761,17.909,50.879,7,7,test,2,High Calorie
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1558373159,"sausage, deprecated, almonds",334.0,1013.337,79.118,30.505000000000003,60.625,3,3,train,2,High Calorie
